episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
234,-816.0,0.3095,200,5.12,0.925,20
235,-475.5,0.3079,200,4.105,0.75,21
236,-737.0,0.3064,200,4.72,0.825,21
237,-1056.0,0.3048,200,5.16,1.095,20
238,-808.0,0.3033,200,5.03,0.955,20
239,-206.0,0.3018,200,3.255,1.24,20
240,-548.0,0.3003,200,3.91,1.305,21
241,-1390.5,0.2988,200,6.405,0.78,21
242,-612.5,0.2973,200,4.73,0.83,21
243,-652.5,0.2958,200,4.765,1.06,22
244,-683.5,0.2943,200,4.475,0.955,22
245,-727.0,0.2929,200,4.515,0.835,21
246,-831.0,0.2914,200,4.895,0.68,21
247,-688.5,0.2899,200,4.49,0.805,21
248,-552.0,0.2885,200,3.885,1.275,21
249,-684.5,0.287,200,4.585,0.625,22
250,-789.0,0.2856,200,4.94,1.06,21
251,-990.5,0.2842,200,5.235,0.805,21
252,-1202.0,0.2828,200,6.1,0.815,21
253,-791.5,0.2813,200,4.775,1.12,21
254,-899.0,0.2799,200,5.265,0.92,21
255,-1063.5,0.2785,200,5.74,0.765,21
256,-610.0,0.2771,200,4.295,0.715,21
257,-824.0,0.2758,200,5.075,1.08,21
258,-324.0,0.2744,200,3.405,0.905,22
259,-616.0,0.273,200,4.23,0.655,21
260,-1009.0,0.2716,200,5.315,0.86,21
261,-673.0,0.2703,200,4.66,0.85,22
262,-298.0,0.2689,200,3.51,0.75,21
263,-823.5,0.2676,200,4.715,0.975,22
264,-508.5,0.2663,200,4.135,0.565,21
265,-987.0,0.2649,200,5.405,1.1,22
266,-286.5,0.2636,200,3.52,0.955,22
267,-571.5,0.2623,200,4.19,0.825,21
268,-836.0,0.261,200,4.785,0.6,22
269,-1164.0,0.2597,200,5.585,1.25,21
270,-796.5,0.2584,200,4.815,1.22,22
271,-502.0,0.2571,200,4.4,0.7,21
272,-544.0,0.2558,200,4.21,0.77,21
273,-808.0,0.2545,200,4.5,0.785,21
274,-571.5,0.2532,200,4.355,0.75,20
275,-1213.0,0.252,200,6.36,0.685,20
276,-643.0,0.2507,200,4.46,0.96,19
277,-860.0,0.2495,200,5.195,0.93,21
278,-766.0,0.2482,200,4.625,1.07,22
279,-530.5,0.247,200,4.215,0.79,20
280,-411.0,0.2457,200,4.13,0.625,21
281,-759.5,0.2445,200,4.825,1.105,21
282,-696.0,0.2433,200,4.345,1.09,21
283,-626.0,0.2421,200,4.335,0.975,20
284,-564.0,0.2409,200,4.42,1.085,21
285,-719.5,0.2397,200,4.925,0.865,21
286,-863.0,0.2385,200,4.95,0.99,21
287,-964.5,0.2373,200,5.25,1.04,22
288,-1193.0,0.2361,200,5.985,0.79,21
289,-472.5,0.2349,200,4.065,0.945,21
290,-512.0,0.2337,200,3.845,1.145,20
291,-856.0,0.2326,200,5.15,1.39,20
292,-680.0,0.2314,200,4.825,0.925,21
293,-1215.5,0.2302,200,5.895,0.795,20
294,-994.0,0.2291,200,5.58,1.125,21
295,-814.5,0.2279,200,4.865,0.665,22
296,-384.0,0.2268,200,3.965,0.94,22
297,-411.5,0.2257,200,3.995,0.85,22
298,-833.5,0.2245,200,5.135,0.77,20
299,-655.0,0.2234,200,4.735,0.905,20
300,-786.0,0.2223,200,4.935,1.18,21
