episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
170,-236.5,0.42650460709830135,200,5.281205882352941,1.055764705882353,3462
171,-1134.5,0.42437208406280985,200,5.2821637426900585,1.0547660818713451,3481
172,-845.5,0.4222502236424958,200,5.280319767441861,1.053546511627907,3502
173,-808.0,0.42013897252428334,200,5.27635838150289,1.0520231213872833,3523
174,-574.0,0.4180382776616619,200,5.271436781609196,1.0498275862068966,3545
175,-1267.5,0.4159480862733536,200,5.276,1.0494857142857144,3566
176,-935.5,0.41386834584198684,200,5.274829545454545,1.0483806818181818,3587
177,-681.0,0.4117990041127769,200,5.269491525423729,1.0456497175141244,3609
178,-576.0,0.40974000909221303,200,5.262949438202247,1.0460112359550562,3631
179,-915.5,0.40769130904675194,200,5.258463687150838,1.0460055865921787,3652
180,-610.0,0.40565285250151817,200,5.251694444444444,1.0455277777777778,3674
181,-761.0,0.4036245882390106,200,5.248314917127072,1.0442265193370166,3695
182,-654.0,0.4016064652978155,200,5.243571428571428,1.043076923076923,3716
183,-662.5,0.3995984329713264,200,5.239180327868852,1.0441803278688524,3737
184,-657.5,0.3976004408064698,200,5.234510869565217,1.0426630434782609,3759
185,-731.5,0.39561243860243744,200,5.229432432432432,1.041837837837838,3779
186,-656.5,0.3936343764094253,200,5.225430107526882,1.0425806451612902,3800
187,-901.5,0.39166620452737816,200,5.22548128342246,1.04,3820
188,-513.5,0.3897078735047413,200,5.217367021276596,1.0389893617021277,3842
189,-835.0,0.3877593341372176,200,5.214312169312169,1.0407671957671958,3863
190,-678.5,0.3858205374665315,200,5.209447368421053,1.0395526315789474,3885
191,-817.0,0.38389143477919885,200,5.206544502617801,1.0410732984293194,3906
192,-1078.5,0.3819719776053028,200,5.206875,1.0420833333333333,3926
193,-703.5,0.3800621177172763,200,5.2038860103626945,1.0409067357512953,3948
194,-767.0,0.37816180712868996,200,5.202938144329897,1.0413917525773195,3969
195,-926.5,0.37627099809304654,200,5.202974358974359,1.0397948717948717,3990
196,-739.5,0.3743896431025813,200,5.199821428571428,1.0394642857142857,4011
197,-748.0,0.37251769488706843,200,5.196395939086295,1.04,4033
198,-846.0,0.3706551064126331,200,5.193358585858586,1.0386363636363636,4054
199,-877.5,0.36880183088056995,200,5.191381909547738,1.0396231155778894,4074
200,-888.5,0.3669578217261671,200,5.189925,1.039025,4095
201,-569.5,0.36512303261753626,200,5.184378109452736,1.040820895522388,4116
202,-1078.5,0.3632974174544486,200,5.1867326732673265,1.0411633663366338,4137
203,-731.0,0.3614809303671764,200,5.182857142857143,1.042192118226601,4158
204,-841.5,0.3596735257153405,200,5.182083333333333,1.0419117647058824,4179
205,-547.0,0.3578751580867638,200,5.177365853658537,1.0414634146341464,4200
206,-1192.5,0.35608578229633,200,5.180218446601942,1.0416990291262136,4222
207,-704.0,0.3543053533848483,200,5.175507246376812,1.041328502415459,4242
208,-725.0,0.35253382661792404,200,5.171610576923077,1.0395192307692307,4263
209,-468.5,0.3507711574848344,200,5.163947368421053,1.039377990430622,4284
210,-716.5,0.34901730169741024,200,5.162166666666667,1.0382142857142858,4306
211,-629.5,0.3472722151889232,200,5.1564691943127965,1.0380331753554501,4328
212,-869.0,0.3455358541129786,200,5.156320754716981,1.038443396226415,4349
213,-1028.5,0.3438081748424137,200,5.158262910798122,1.0379342723004694,4371
214,-1146.0,0.3420891339682016,200,5.162523364485981,1.0372196261682243,4393
215,-713.5,0.3403786882983606,200,5.158953488372093,1.0374883720930232,4415
216,-786.5,0.3386767948568688,200,5.156736111111111,1.036851851851852,4436
217,-938.5,0.33698341088258443,200,5.156705069124424,1.0347235023041474,4457
218,-1087.0,0.3352984938281715,200,5.157224770642202,1.0347018348623853,4479
219,-784.0,0.33362200135903064,200,5.156438356164384,1.0330593607305936,4500
220,-379.0,0.33195389135223546,200,5.150840909090909,1.0316818181818181,4518
221,-692.0,0.3302941218954743,200,5.147330316742082,1.0323529411764707,4538
222,-1822.5,0.32864265128599696,200,5.158400900900901,1.0317117117117116,4557
223,-921.5,0.326999438029567,200,5.1588789237668164,1.0295739910313901,4578
224,-1003.0,0.3253644408394192,200,5.1589285714285715,1.0284151785714286,4598
225,-769.5,0.3237376186352221,200,5.157355555555555,1.028911111111111,4619
226,-823.5,0.322118930542046,200,5.156570796460177,1.0275442477876107,4640
227,-723.0,0.32050833588933575,200,5.1549339207048455,1.0258810572687225,4660
228,-535.0,0.31890579420988907,200,5.150416666666667,1.024890350877193,4681
229,-1127.5,0.3173112652388396,200,5.153013100436681,1.0239956331877729,4702
230,-1130.0,0.3157247089126454,200,5.156391304347826,1.0228260869565218,4723
231,-336.5,0.3141460853680822,200,5.15060606060606,1.0211688311688312,4744
232,-872.5,0.3125753549412418,200,5.150064655172414,1.0217887931034482,4766
233,-1244.5,0.31101247816653554,200,5.15519313304721,1.0215021459227467,4785
